gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,224,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2232,1,9.0181,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,312.55,1751.39
gfx950,256,240,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2224,1,9.337,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,323.43,1716.13
gfx950,256,256,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2106,1,9.6883,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,332.49,1677.58
gfx950,256,512,6144,1024,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,329,1,13.7222,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,469.49,1451.88
gfx950,256,16,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,213,1,6.0734,flydsl_hgemm_abf16_wbf16_bf16_t16x32x128x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,49.72,3148.18
gfx950,256,32,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1053,1,6.8727,flydsl_hgemm_abf16_wbf16_bf16_t32x32x128x4_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,87.88,2817.8
gfx950,256,64,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2728,1,8.4665,flydsl_hgemm_abf16_wbf16_bf16_t64x32x128x4_ks1_w4x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,142.68,2345.41
gfx950,256,80,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1917,1,9.215,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,163.86,2181.57
gfx950,256,96,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1735,1,9.3545,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x5_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,193.7,2175.31
gfx950,256,112,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3352,1,10.3972,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x6_ks1_w2x4x1_bias0_ktail0_gm0_pft_gfx950,0.0,203.32,1980.79
gfx950,256,128,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3316,1,10.2618,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w4x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,235.43,2030.88
gfx950,256,144,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2401,1,11.2267,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,242.09,1878.22
gfx950,256,160,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2903,1,11.3909,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x5_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,265.12,1872.72
gfx950,256,176,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2383,1,11.8109,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,281.26,1826.93
gfx950,256,192,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2383,1,11.8667,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,305.38,1839.05
gfx950,256,208,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2517,1,11.4591,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,342.6,1925.91
gfx950,256,224,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2517,1,11.9,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,355.28,1875.21
gfx950,256,240,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2509,1,12.3482,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,366.84,1827.05
gfx950,256,256,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2339,1,12.4238,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks1_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.003,388.92,1835.71
gfx950,256,512,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,368,1,17.8696,flydsl_hgemm_abf16_wbf16_bf16_t128x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,540.79,1496.32
gfx950,256,80,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1605,1,18.0756,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,222.76,2875.15
gfx950,256,96,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1459,1,18.4877,flydsl_hgemm_abf16_wbf16_bf16_t32x64x64x6_ks1_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,261.35,2828.78
gfx950,256,176,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2100,1,22.8144,flydsl_hgemm_abf16_wbf16_bf16_t64x64x64x4_ks1_w2x1x1_bias0_ktail0_gm0_pft_gfx950,0.0,388.28,2364.13
gfx950,256,208,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2233,1,23.9498,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm4_pft_gfx950,0.0,437.12,2279.41
gfx950,256,224,6144,4096,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2232,1,24.5705,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x4_ks1_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0,458.85,2235.17
gfx950,256,16,12288,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,555,2,28.0716,flydsl_hgemm_abf16_wbf16_bf16_t16x96x128x3_ks2_w1x2x1_bias0_ktail0_gm0_pft_gfx950,0.0055,86.06,5399.93
gfx950,256,32,12288,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,1656,2,29.1372,flydsl_hgemm_abf16_wbf16_bf16_t32x96x64x5_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0057,165.83,5222.69
gfx950,256,48,12288,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3004,2,30.6977,flydsl_hgemm_abf16_wbf16_bf16_t64x96x64x6_ks2_w2x2x1_bias0_ktail0_gm0_pft_gfx950,0.0057,236.1,4976.41
gfx950,256,64,12288,6144,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,2742,2,32.7226,flydsl_hgemm_abf16_wbf16_bf16_t64x96x128x3_ks2_w2x2x2_bias0_ktail0_gm0_pft_gfx950,0.0136,295.32,4686.49
